City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,cidreira,-30.1811,-50.2056,13.74,73,32,8.25,BR,1725243723
201,kununurra,-15.7667,128.7333,32.99,43,38,3.09,AU,1725243723
202,vilyuchinsk,52.9306,158.4028,21.15,63,100,2.89,RU,1725243723
203,aykhal,66.0,111.5,13.73,66,100,3.9,RU,1725243723
204,twon-brass,4.3151,6.2418,25.49,80,96,3.61,NG,1725243723
205,irtyshsk,53.3333,75.4572,7.02,78,100,4.38,KZ,1725243723
206,moree,-29.4667,149.85,24.72,20,0,7.31,AU,1725243724
207,fale old settlement,-9.3852,-171.2468,28.08,72,20,8.98,TK,1725243724
208,metlili chaamba,32.2667,3.6333,30.33,32,95,2.07,DZ,1725243724
209,phek,25.6667,94.5,22.42,91,96,0.76,IN,1725243724
210,aasiaat,68.7098,-52.8699,0.26,80,60,3.17,GL,1725243724
211,lepsy,46.235,78.9456,13.88,58,100,6.33,KZ,1725243724
212,praia da vitoria,38.7333,-27.0667,22.14,78,75,3.86,PT,1725243724
213,chonchi,-42.6128,-73.8092,8.4,94,78,2.84,CL,1725243724
214,saldanha,-33.0117,17.9442,14.03,61,12,3.71,ZA,1725243724
215,colonia,50.9333,6.95,22.2,79,6,1.32,DE,1725243724
216,hammerfest,70.6634,23.6821,12.25,100,100,2.06,NO,1725243675
217,st. john's,47.5649,-52.7093,18.42,92,75,7.2,CA,1725243607
218,pacific grove,36.6177,-121.9166,19.64,80,0,4.63,US,1725243725
219,gadzhiyevo,69.2551,33.3362,12.38,86,100,2.75,RU,1725243725
220,isla mujeres,21.2311,-86.731,25.09,78,38,2.58,MX,1725243725
221,amga,60.8953,131.9608,7.25,85,100,4.96,RU,1725243725
222,colares,38.7992,-9.4469,21.29,85,1,5.54,PT,1725243725
223,muroto-misakicho,33.2833,134.15,28.2,75,35,3.45,JP,1725243725
224,udachny,66.4167,112.4,14.95,69,31,3.56,RU,1725243725
225,manta,-0.95,-80.7333,21.88,83,100,5.14,EC,1725243606
226,tobruk,32.0836,23.9764,26.0,74,0,2.07,LY,1725243725
227,alindao,5.0267,21.2088,20.82,97,99,0.63,CF,1725243726
228,wailua homesteads,22.0669,-159.378,28.44,74,20,5.14,US,1725243726
229,bouarfa,32.53,-1.95,23.81,44,92,2.26,MA,1725243726
230,morehead city,34.7229,-76.726,28.02,84,0,4.63,US,1725243726
231,salym,60.0625,71.4789,9.54,93,100,4.49,RU,1725243726
232,villa gesell,-37.2639,-56.973,9.11,88,55,3.39,AR,1725243726
233,hithadhoo,-0.6,73.0833,28.35,73,46,3.48,MV,1725243726
234,sussex,41.1834,-74.6663,21.67,89,40,0.45,US,1725243726
235,al muwayh,22.4333,41.7583,29.95,25,74,4.22,SA,1725243726
236,bamboo flat,11.7,92.7167,27.24,83,100,4.74,IN,1725243726
237,rawson,-43.3002,-65.1023,18.16,36,0,9.77,AR,1725243726
238,dosso,13.049,3.1937,24.17,88,94,4.0,NE,1725243727
239,hotan,37.0997,79.9269,24.6,45,94,0.57,CN,1725243727
240,ponta delgada,37.7333,-25.6667,22.4,68,40,4.12,PT,1725243499
241,sao tome,0.3365,6.7273,24.87,86,100,3.85,ST,1725243727
242,raichur,16.2,77.3667,21.45,85,100,4.83,IN,1725243727
243,brasileia,-11.0161,-68.7481,26.53,35,12,1.6,BR,1725243727
244,nadi,-17.8,177.4167,31.0,40,20,4.63,FJ,1725243565
245,plastun,44.7561,136.2939,23.47,40,4,4.53,RU,1725243727
246,harper,4.375,-7.7169,23.64,89,100,4.61,LR,1725243727
247,kilindoni,-7.9139,39.6668,24.54,79,23,9.97,TZ,1725243632
248,chulakkurgan,43.765,69.1814,12.4,42,0,4.89,KZ,1725243727
249,tarashcha,49.5583,30.4926,19.14,40,100,3.51,UA,1725243727
250,dauphin,51.1494,-100.0502,15.08,72,0,2.57,CA,1725243727
251,akrehamn,59.2667,5.1833,11.14,82,12,3.09,NO,1725243728
252,ugoofaaru,5.6667,73.0,28.01,79,100,4.89,MV,1725243728
253,loppi,60.7167,24.45,9.66,97,73,2.32,FI,1725243728
254,mount gambier,-37.8333,140.7667,11.32,51,10,9.38,AU,1725243728
255,westport,41.1415,-73.3579,23.64,91,2,3.18,US,1725243624
256,tol'yatti,53.5303,49.3461,13.7,49,0,1.29,RU,1725243728
257,azangaro,-14.9167,-70.2167,3.71,66,26,1.13,PE,1725243728
258,contamana,-7.3333,-75.0167,27.35,49,78,0.34,PE,1725243728
259,antonio enes,-16.2325,39.9086,22.2,74,26,5.89,MZ,1725243728
260,kapa'a,22.0752,-159.319,29.18,72,20,5.14,US,1725243728
